CRS,MUNICIPIO,TRAB_SAUDE_40_vac,INDIGENAS_vac,MAIOR_60_vac,TOTAL
1º CRS,ANANINDEUA,363,0,1,364
1º CRS,BELEM,1959,0,17,1976
1º CRS,BENEVIDES,27,0,0,27
1º CRS,MARITUBA,74,0,4,78
1º CRS,SANTA BARBARA DO PARA,11,0,0,11
2º CRS,ACARA,18,0,0,18
2º CRS,BUJARU,8,0,0,8
2º CRS,COLARES,6,0,0,6
2º CRS,CONCORDIA DO PARA,12,0,0,12
2º CRS,SANTA ISABEL DO PARA,38,0,0,38
2º CRS,SANTO ANTONIO DO TAUA,12,0,0,12
2º CRS,SAO CAETANO DE ODIVELAS,7,0,0,7
2º CRS,TOME-ACU,32,36,0,68
2º CRS,VIGIA,24,0,0,24
3ºCRS,CASTANHAL,141,0,4,145
3ºCRS,CURUCA,18,0,0,18
3ºCRS,IGARAPE-ACU,19,0,0,19
3ºCRS,INHANGAPI,5,0,0,5
3ºCRS,MAGALHAES BARATA,4,0,0,4
3ºCRS,MARACANA,12,0,0,12
3ºCRS,MARAPANIM,21,0,0,21
3ºCRS,SAO DOMINGOS DO CAPIM,12,0,0,12
3ºCRS,SAO FRANCISCO DO PARA,10,0,0,10
3ºCRS,SAO JOAO DA PONTA,3,0,0,3
3ºCRS,TERRA ALTA,5,0,0,5
4º CRS,AUGUSTO CORREA,17,0,0,17
4º CRS,BONITO,5,0,0,5
4º CRS,BRAGANCA,75,0,0,75
4º CRS,CACHOEIRA DO PIRIA,11,0,0,11
4º CRS,CAPANEMA,82,0,2,83
4º CRS,NOVA TIMBOTEUA,7,0,0,7
4º CRS,OUREM,6,0,0,6
4º CRS,PEIXE-BOI,4,0,0,4
4º CRS,PRIMAVERA,6,0,0,6
4º CRS,QUATIPURU,6,0,0,6
4º CRS,SALINOPOLIS,18,0,0,18
4º CRS,SANTA LUZIA DO PARA,10,50,0,61
4º CRS,SANTAREM NOVO,4,0,0,4
4º CRS,SAO JOAO DE PIRABAS,9,0,0,9
4º CRS,TRACUATEUA,20,0,0,20
4º CRS,VISEU,26,0,0,26
5ºCRS,AURORA DO PARA,11,0,0,11
5ºCRS,CAPITAO POCO,29,0,0,29
5ºCRS,DOM ELISEU,29,0,0,29
5ºCRS,GARRAFAO DO NORTE,29,0,0,29
5ºCRS,IPIXUNA DO PARA,22,0,0,22
5ºCRS,IRITUIA,16,0,0,16
5ºCRS,MAE DO RIO,15,0,0,15
5ºCRS,NOVA ESPERANCA DO PIRIA,8,0,0,8
5ºCRS,PARAGOMINAS,79,78,2,159
5ºCRS,SANTA MARIA DO PARA,16,29,0,44
5ºCRS,SAO MIGUEL DO GUAMA,26,0,0,26
5ºCRS,ULIANOPOLIS,28,0,0,28
6º CRS,ABAETETUBA,95,0,0,95
6º CRS,BARCARENA,89,0,0,89
6º CRS,IGARAPE-MIRI,27,0,0,27
6º CRS,MOJU,18,9,0,26
6º CRS,TAILANDIA,35,0,0,35
7ºCRS,AFUA,19,0,0,19
7ºCRS,CACHOEIRA DO ARARI,6,0,0,6
7ºCRS,CHAVES,8,0,0,8
7ºCRS,MUANA,10,0,0,10
7ºCRS,PONTA DE PEDRAS,9,0,0,9
7ºCRS,SALVATERRA,7,0,0,7
7ºCRS,SANTA CRUZ DO ARARI,6,0,0,6
7ºCRS,SAO SEBASTIAO DA BOA VISTA,12,0,0,12
7ºCRS,SOURE,11,0,0,11
8º CRS,ANAJAS,9,0,0,9
8º CRS,BAGRE,10,0,0,10
8º CRS,BREVES,45,0,0,45
8º CRS,CURRALINHO,10,0,0,10
8º CRS,GURUPA,19,0,0,19
8º CRS,MELGACO,14,0,0,14
8º CRS,PORTEL,17,0,0,17
9º CRS,ALENQUER,26,0,0,26
9º CRS,ALMEIRIM,18,8,0,26
9º CRS,AVEIRO,6,31,0,37
9º CRS,BELTERRA,9,0,0,9
9º CRS,CURUA,5,0,0,5
9º CRS,FARO,9,0,0,9
9º CRS,ITAITUBA,70,41,3,114
9º CRS,JACAREACANGA,11,469,0,480
9º CRS,JURUTI,31,0,0,31
9º CRS,MOJUI DOS CAMPOS,7,0,0,7
9º CRS,MONTE ALEGRE,22,0,0,22
9º CRS,NOVO PROGRESSO,12,69,0,81
9º CRS,OBIDOS,24,18,0,42
9º CRS,ORIXIMINA,33,145,0,178
9º CRS,PLACAS,11,0,0,11
9º CRS,PRAINHA,12,0,0,12
9º CRS,RUROPOLIS,18,0,0,18
9º CRS,SANTAREM,261,384,3,647
9º CRS,TERRA SANTA,10,0,0,10
9º CRS,TRAIRAO,8,0,0,8
10º CRS,ALTAMIRA,115,198,0,313
10º CRS,ANAPU,13,88,0,101
10º CRS,BRASIL NOVO,9,0,0,9
10º CRS,MEDICILANDIA,10,0,1,10
10º CRS,PACAJA,14,0,0,14
10º CRS,PORTO DE MOZ,13,1,0,14
10º CRS,SENADOR JOSE PORFIRIO,7,54,0,61
10º CRS,URUARA,20,0,0,20
10º CRS,VITORIA DO XINGU,14,28,0,42
11º CRS,ABEL FIGUEIREDO,5,0,0,5
11º CRS,BOM JESUS DO TOCANTINS,9,51,0,60
11º CRS,BREJO GRANDE DO ARAGUAIA,4,0,0,4
11º CRS,BREU BRANCO,16,0,1,17
11º CRS,CANAA DOS CARAJAS,33,4,0,36
11º CRS,CURIONOPOLIS,9,0,0,9
11º CRS,ELDORADO DOS CARAJAS,11,0,0,11
11º CRS,GOIANESIA DO PARA,16,4,0,20
11º CRS,ITUPIRANGA,18,37,1,56
11º CRS,JACUNDA,16,4,0,20
11º CRS,MARABA,158,0,3,161
11º CRS,NOVA IPIXUNA,7,0,0,7
11º CRS,NOVO REPARTIMENTO,35,59,0,94
11º CRS,PALESTINA DO PARA,4,0,0,4
11º CRS,PARAUAPEBAS,122,106,2,230
11º CRS,PICARRA,6,0,0,6
11º CRS,RONDON DO PARA,20,0,0,20
11º CRS,SAO DOMINGOS DO ARAGUAIA,11,3,0,14
11º CRS,SAO GERALDO DO ARAGUAIA,12,24,0,36
11º CRS,SAO JOAO DO ARAGUAIA,9,0,0,9
11º CRS,TUCURUI,83,27,1,111
12ºCRS,AGUA AZUL DO NORTE,11,0,0,11
12ºCRS,BANNACH,4,9,0,13
12ºCRS,CONCEICAO DO ARAGUAIA,49,0,1,50
12ºCRS,CUMARU DO NORTE,7,78,0,85
12ºCRS,FLORESTA DO ARAGUAIA,13,0,0,13
12ºCRS,OURILANDIA DO NORTE,32,88,0,121
12ºCRS,PAU D'ARCO,6,18,0,24
12ºCRS,REDENCAO,70,5,1,76
12ºCRS,RIO MARIA,12,0,0,12
12ºCRS,SANTA MARIA DAS BARREIRAS,13,0,0,13
12ºCRS,SANTANA DO ARAGUAIA,19,3,1,23
12ºCRS,SAO FELIX DO XINGU,34,75,2,112
12ºCRS,SAPUCAIA,5,0,2,6
12ºCRS,TUCUMA,33,0,0,33
12ºCRS,XINGUARA,35,0,1,36
13º CRS,BAIAO,16,9,0,25
13º CRS,CAMETA,60,0,0,60
13º CRS,LIMOEIRO DO AJURU,12,0,0,12
13º CRS,MOCAJUBA,12,0,0,12
13º CRS,OEIRAS DO PARA,14,0,0,14
