CRS,REGIA_SAU,MUNICIPIO,TOTAL_VAC,TRAB_SAUDE_40,INDIGENAS,MAIOR_60,TOTAL_VAC
1º CRS,ARAGUAIA,AGUA AZUL DO NORTE,115,27,0,5,32
3ºCRS,ARAGUAIA,BANNACH,126,48,41,15,104
4º CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,498,23,0,0,23
4º CRS,ARAGUAIA,CUMARU DO NORTE,851,65,10,23,98
5ºCRS,ARAGUAIA,FLORESTA DO ARAGUAIA,132,20,0,0,20
9º CRS,ARAGUAIA,OURILANDIA DO NORTE,1205,30,396,0,426
9º CRS,ARAGUAIA,PAU D'ARCO,237,46,30,0,76
10º CRS,ARAGUAIA,REDENCAO,765,16,23,0,39
10º CRS,ARAGUAIA,RIO MARIA,124,50,0,0,50
11º CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,128,40,0,0,40
11º CRS,ARAGUAIA,SANTANA DO ARAGUAIA,234,41,14,0,55
11º CRS,ARAGUAIA,SAO FELIX DO XINGU,1115,51,338,0,389
12ºCRS,ARAGUAIA,SAPUCAIA,62,18,0,1,19
12ºCRS,ARAGUAIA,TUCUMA,334,12,0,0,12
13º CRS,ARAGUAIA,XINGUARA,363,35,0,8,43
2º CRS,BAIXO AMAZONAS,ALENQUER,257,45,0,0,45
2º CRS,BAIXO AMAZONAS,ALMEIRIM,260,19,38,0,57
3ºCRS,BAIXO AMAZONAS,BELTERRA,413,31,0,0,31
5ºCRS,BAIXO AMAZONAS,CURUA,48,10,0,0,10
5ºCRS,BAIXO AMAZONAS,FARO,87,37,0,0,37
7ºCRS,BAIXO AMAZONAS,JURUTI,306,26,0,0,26
8º CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,72,43,0,0,43
9º CRS,BAIXO AMAZONAS,MONTE ALEGRE,218,64,0,0,64
9º CRS,BAIXO AMAZONAS,OBIDOS,421,27,81,0,108
9º CRS,BAIXO AMAZONAS,ORIXIMINA,1780,18,653,0,671
9º CRS,BAIXO AMAZONAS,PLACAS,111,20,0,0,20
10º CRS,BAIXO AMAZONAS,PRAINHA,123,24,0,0,24
11º CRS,BAIXO AMAZONAS,SANTAREM,6475,396,1727,0,2123
12ºCRS,BAIXO AMAZONAS,TERRA SANTA,98,31,0,0,31
1º CRS,CARAJÁS,ABEL FIGUEIREDO,294,200,0,9,209
3ºCRS,CARAJÁS,BOM JESUS DO TOCANTINS,47,15,17,0,32
4º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,602,43,0,0,43
4º CRS,CARAJÁS,CANAA DOS CARAJAS,40,10,16,0,26
5ºCRS,CARAJÁS,CURIONOPOLIS,361,29,0,0,29
5ºCRS,CARAJÁS,DOM ELISEU,91,55,0,0,55
5ºCRS,CARAJÁS,ELDORADO DOS CARAJAS,107,39,0,0,39
7ºCRS,CARAJÁS,ITUPIRANGA,561,47,167,0,214
7ºCRS,CARAJÁS,MARABA,1609,31,0,0,31
9º CRS,CARAJÁS,NOVA IPIXUNA,70,22,0,0,22
9º CRS,CARAJÁS,PALESTINA DO PARA,42,13,0,0,13
9º CRS,CARAJÁS,PARAUAPEBAS,2296,31,476,0,507
9º CRS,CARAJÁS,PICARRA,60,25,0,0,25
10º CRS,CARAJÁS,RONDON DO PARA,203,35,0,0,35
11º CRS,CARAJÁS,SAO DOMINGOS DO ARAGUAIA,136,75,12,0,87
11º CRS,CARAJÁS,SAO GERALDO DO ARAGUAIA,363,31,108,0,139
12ºCRS,CARAJÁS,SAO JOAO DO ARAGUAIA,92,29,0,0,29
4º CRS,LAGO TUCURUÍ,BREU BRANCO,354,14,0,0,14
5ºCRS,LAGO TUCURUÍ,GOIANESIA DO PARA,167,39,19,5,63
7ºCRS,LAGO TUCURUÍ,JACUNDA,202,20,17,0,37
9º CRS,LAGO TUCURUÍ,NOVO REPARTIMENTO,203,75,57,7,139
12ºCRS,LAGO TUCURUÍ,TAILANDIA,937,14,0,0,14
12ºCRS,LAGO TUCURUÍ,TUCURUI,1109,83,120,0,203
1º CRS,MARAJO I,AFUA,189,30,0,0,30
4º CRS,MARAJO I,CACHOEIRA DO ARARI,56,11,0,0,11
4º CRS,MARAJO I,CHAVES,81,26,0,0,26
9º CRS,MARAJO I,MUANA,104,44,0,0,44
10º CRS,MARAJO I,PONTA DE PEDRAS,94,21,0,0,21
11º CRS,MARAJO I,SALVATERRA,66,10,0,0,10
11º CRS,MARAJO I,SANTA CRUZ DO ARARI,63,30,0,0,30
12ºCRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,123,30,0,0,30
12ºCRS,MARAJO I,SOURE,111,80,0,0,80
2º CRS,MARAJO II,ANAJAS,90,30,0,0,30
3ºCRS,MARAJO II,BAGRE,104,75,0,0,75
4º CRS,MARAJO II,BREVES,453,187,0,0,187
5ºCRS,MARAJO II,CURRALINHO,96,74,0,0,74
5ºCRS,MARAJO II,GURUPA,192,65,0,0,65
8º CRS,MARAJO II,MELGACO,141,24,0,0,24
10º CRS,MARAJO II,PORTEL,170,32,0,0,32
2º CRS,METROPOLITANA I,ANANINDEUA,3639,94,0,0,94
3º CRS,METROPOLITANA I,BELEM,19760,10,0,0,10
3º CRS,METROPOLITANA I,BENEVIDES,272,53,0,0,53
8º CRS,METROPOLITANA I,MARITUBA,780,26,0,0,26
11º CRS,METROPOLITANA I,SANTA BARBARA DO PARA,109,41,0,0,41
1º CRS,METROPOLITANA II,ACARA,180,68,0,0,68
4º CRS,METROPOLITANA II,BUJARU,76,27,0,0,27
4º CRS,METROPOLITANA II,COLARES,63,9,0,0,9
4º CRS,METROPOLITANA II,CONCORDIA DO PARA,121,49,0,0,49
11º CRS,METROPOLITANA II,SANTA ISABEL DO PARA,377,23,0,0,23
11º CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,119,87,0,0,87
11º CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,73,10,0,0,10
12º CRS,METROPOLITANA II,TOME-ACU,680,32,161,4,197
13º CRS,METROPOLITANA II,VIGIA,244,151,0,0,151
2º CRS,METROPOLITANA III,AURORA DO PARA,1446,80,0,0,80
4º CRS,METROPOLITANA III,CAPITAO POCO,176,14,0,0,14
4º CRS,METROPOLITANA III,CASTANHAL,191,46,0,0,46
5ºCRS,METROPOLITANA III,CURUCA,51,21,0,0,21
5ºCRS,METROPOLITANA III,GARRAFAO DO NORTE,40,30,0,0,30
5ºCRS,METROPOLITANA III,IGARAPE-ACU,125,71,0,0,71
6º CRS,METROPOLITANA III,INHANGAPI,210,38,0,0,38
6º CRS,METROPOLITANA III,IPIXUNA DO PARA,122,67,0,0,67
6º CRS,METROPOLITANA III,IRITUIA,102,44,0,0,44
7ºCRS,METROPOLITANA III,MAE DO RIO,29,14,0,8,22
7ºCRS,METROPOLITANA III,MAGALHAES BARATA,48,16,0,0,16
7ºCRS,METROPOLITANA III,MARACANA,115,28,0,0,28
8º CRS,METROPOLITANA III,MARAPANIM,295,23,0,0,23
9º CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,289,15,0,0,15
9º CRS,METROPOLITANA III,PARAGOMINAS,221,28,30,0,58
11º CRS,METROPOLITANA III,SANTA MARIA DO PARA,155,44,29,3,76
11º CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,147,15,0,0,15
11º CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,79,28,0,0,28
11º CRS,METROPOLITANA III,SAO JOAO DA PONTA,1590,23,0,0,23
12ºCRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,441,9,0,0,9
12ºCRS,METROPOLITANA III,TERRA ALTA,261,175,0,0,175
12ºCRS,METROPOLITANA III,ULIANOPOLIS,285,89,0,0,89
2º CRS,RIO CAETES,AUGUSTO CORREA,173,18,0,0,18
3ºCRS,RIO CAETES,BONITO,54,26,0,0,26
3ºCRS,RIO CAETES,BRAGANCA,749,7,0,2,9
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,109,19,0,0,19
4º CRS,RIO CAETES,CAPANEMA,834,15,0,0,15
9º CRS,RIO CAETES,NOVA TIMBOTEUA,74,12,0,0,12
9º CRS,RIO CAETES,OUREM,65,35,0,0,35
9º CRS,RIO CAETES,PEIXE-BOI,39,21,0,3,24
10º CRS,RIO CAETES,PRIMAVERA,60,35,0,0,35
10º CRS,RIO CAETES,QUATIPURU,56,32,0,5,37
11º CRS,RIO CAETES,SALINOPOLIS,183,24,0,0,24
11º CRS,RIO CAETES,SANTA LUZIA DO PARA,606,27,226,0,253
11º CRS,RIO CAETES,SANTAREM NOVO,36,17,0,0,17
11º CRS,RIO CAETES,SAO JOAO DE PIRABAS,91,30,0,7,37
12ºCRS,RIO CAETES,TRACUATEUA,195,48,0,0,48
13º CRS,RIO CAETES,VISEU,260,29,0,0,29
2º CRS,TAPAJOS,AVEIRO,370,61,20,0,81
6º CRS,TAPAJOS,ITAITUBA,1138,88,185,0,273
7ºCRS,TAPAJOS,JACAREACANGA,4801,14,30,0,44
9º CRS,TAPAJOS,NOVO PROGRESSO,811,22,60,5,87
11º CRS,TAPAJOS,RUROPOLIS,184,12,0,0,12
12ºCRS,TAPAJOS,TRAIRAO,78,30,0,0,30
1º CRS,TOCANTINS,ABAETETUBA,951,500,0,4,504
3ºCRS,TOCANTINS,BAIAO,891,44,40,0,84
3ºCRS,TOCANTINS,BARCARENA,266,13,0,0,13
4º CRS,TOCANTINS,CAMETA,262,16,0,1,17
6º CRS,TOCANTINS,IGARAPE-MIRI,252,150,0,0,150
7ºCRS,TOCANTINS,LIMOEIRO DO AJURU,603,23,0,3,26
8º CRS,TOCANTINS,MOCAJUBA,117,48,0,0,48
8º CRS,TOCANTINS,MOJU,122,35,39,0,74
9º CRS,TOCANTINS,OEIRAS DO PARA,139,77,0,7,84
2º CRS,XINGU,ALTAMIRA,3130,16,890,8,914
2º CRS,XINGU,ANAPU,1010,30,63,9,102
3ºCRS,XINGU,BRASIL NOVO,90,12,0,0,12
8º CRS,XINGU,MEDICILANDIA,105,36,0,5,41
9º CRS,XINGU,PACAJA,138,60,0,0,60
10º CRS,XINGU,PORTO DE MOZ,140,23,6,0,29
12ºCRS,XINGU,SENADOR JOSE PORFIRIO,610,33,45,0,78
13º CRS,XINGU,URUARA,200,41,0,0,41
13º CRS,XINGU,VITORIA DO XINGU,422,31,127,0,158
